"Stat Nmbr","Stat Name"
"409","AveragePuttingDistanceAll1putts"
"410","AveragePuttingDistanceAll2putts"
"411","AveragePuttingDistanceAll3putts"
"412","AveragePuttingDistanceAll3Plusputts"
"413","OnePuttPercentage"
"414","OnePuttPercentageRound1"
"415","OnePuttPercentageRound2"
"416","OnePuttPercentageRound3"
"417","OnePuttPercentageRound4"
"418","OnePuttPercentageRound5"
"419","GoingfortheGreen"
"420","Total1PuttsInside5"
"421","Total1Putts510"
"422","Total1Putts1015"
"423","Total1Putts1520"
"424","Total1Putts2025"
"425","Total1Putts25"
"426","3PuttAvoidance"
"427","3PuttAvoidanceRound1"
"428","3PuttAvoidanceRound2"
"429","3PuttAvoidanceRound3"
"430","3PuttAvoidanceRound4"
"431","FairwayProximity"
"432","LeftRoughProximity"
"433","RightRoughProximity"
"434","PuttsMadePerEventOver10"
"435","PuttsMadePerEventOver20"
"436","Par5GoingfortheGreen"
"437","RoughProximity"
"438","AverageDistanceofPuttsmade"
"439","RyderCupWorldPoints"
"440","3PuttAvoidanceRound5"
"441","Total3PuttsInside5"
"442","Total3Putts510"
"443","Total3Putts1015"
"444","Total3Putts1520"
"445","Total3Putts2025"
"446","Total3Putts25"
"447","Par4EagleLeaders"
"448","Par5EagleLeaders"
"449","ConsecutivePar3Birdies"
"450","ConsecutivePar4Birdies"
"451","ConsecutivePar5Birdies"
"452","ConsecutiveHolesBelowPar"
"453","610FinalRoundPerformance"
"454","DrivingPct300Measured"
"455","DrivingPct280300Measured"
"456","DrivingPct260280Measured"
"457","DrivingPct240260Measured"
"458","DrivingPctMeasured"
"459","LeftRoughTendency"
"460","RightRoughTendency"
"461","MissedFairwayPercentOther"
"464","ScramblingRoughRTPScore"
"465","ScramblingFringeRTPScore"
"466","Scrambling30ydsRTPScore"
"467","Scrambling2030ydsRTPScore"
"468","Scrambling1020ydsRTPScore"
"469","ApproachesLeftRoughRTPScore"
"470","ApproachesRightRoughRTPScore"
"471","FairwayApproachRTPScore"
"472","Approach"
"473","Approach125150yardsRTPScore"
"474","BestRoundsin60sStreak"
"475","YTDRoundsin60sStreak"
"476","BestSubParRoundsStreak"
"477","YTDSubParRoundsStreak"
"478","Approach150175yardsRTPScore"
"479","Approach175200yardsRTPScore"
"480","Approach200yardsRTPScore"
"481","ScramblingAverageDistancetoHole"
"482","YTDParorBetterStreak"
"483","CurrentStreakwithouta3Putt"
"484","PuttingInside10"
"485","Puttingfrom48"
"486","GoingfortheGreenHitGreenPct"
"495","DrivingPct300320Measured"
"496","DrivingPct320Measured"
"498","LongestPutts"
"499","RyderCupEuroPoints"
"01008","FairwayBunkerTendency"
"01351","InternalServerError"
"02325","AverageApproachShotDistance"
"02327","Puttingfrom515"
"02328","Puttingfrom1525"
"02329","Approachesfrominside100yards"
"02330","GIRPercentageLess100yards"
"02331","Approachesfrom100yards"
"02332","GIRPercentage100yards"
"02333","BirdieorBetterPercentageFairway"
"02334","BirdieorBetterPercentageLeftRough"
"02335","BirdieorBetterPercentageRightRough"
"02336","BirdieorBetterPercentageRough"
"02337","PercentageofAvailablePurseWon"
"02338","AverageApproachDistanceBirdieorBetter"
"02339","AverageApproachDistancePar"
"02340","AverageApproachDistanceBogeyorWorse"
"02341","PercentageofYardagecoveredbyTeeShots"
"02342","PercentageofYardagecoveredbyTeeShotsPar4s"
"02343","PercentageofYardagecoveredbyTeeShotsPar5s"
"02346","ScoringRating"
"02347","Last5EventsPower"
"02348","Last5EventsAccuracy"
"02349","Last5EventsShortGame"
"02350","Last5EventsPutting"
"02351","Last5EventsScoring"
"02352","Last15EventsPower"
"02353","Last15EventsAccuracy"
"02354","Last15EventsShortGame"
"02355","Last15EventsPutting"
"02356","Last15EventsScoring"
"02357","GoingfortheGreenBirdieorBetter"
"02358","Approachesfrom200225yards"
"02359","Approachesfrom225250yards"
"02360","Approachesfrom250275yards"
"02361","Approachesfrom275yards"
"02362","Approachesfrom5075yardsRgh"
"02363","Approachesfrom75100yardsRgh"
"02364","Approachesfrom100125yardsRgh"
"02365","Approachesfrom50125yardsRgh"
"02366","Approachesfrom125150yardsRgh"
"02367","Approachesfrom150175yardsRgh"
"02368","Approachesfrom175200yardsRgh"
"02369","Approachesfrom200yardsRgh"
"02370","Approachesfrominside100yardsRgh"
"02371","Approachesfrom100yardsRgh"
"02372","Approachesfrom200225yardsRgh"
"02373","Approachesfrom225250yardsRgh"
"02374","Approachesfrom250275yardsRgh"
"02375","Approachesfrom275yardsRgh"
"02376","Approach200225yardsRTP"
"02377","Approach225250yardsRTP"
"02378","Approach250275yardsRTP"
"02379","Approach275yardsRTP"
"02380","Approaches5075yardsRghRTP"
"02381","Approaches75100yardsRghRTP"
"02382","Approaches100125yardsRghRTP"
"02383","Approaches50125yardsRghRTP"
"02384","Approaches125150yardsRghRTP"
"02385","Approaches150175yardsRghRTP"
"02386","Approaches175200yardsRghRTP"
"02387","Approaches200yardsRghRTP"
"02388","Approaches"
"02389","Approaches100yardsRghRTP"
"02390","Approaches200225yardsRghRTP"
"02391","Approaches225250yardsRghRTP"
"02392","Approaches250275yardsRghRTP"
"02393","Approaches275yardsRghRTP"
"02394","FedExCupSeasonPoints"
"02395","FedExCupPlayoffsPoints"
"02396","FedExCupBonusMoney"
"02398","FedExCupSeasonPointsforNonMembers"
"02401","ClubHeadSpeed"
"02402","BallSpeed"
"02403","SmashFactor"
"02404","LaunchAngle"
"02405","SpinRate"
"02406","DistancetoApex"
"02407","ApexHeight"
"02408","HangTime"
"02409","CarryDistance"
"02410","CarryEfficiency"
"02411","TotalDistanceEfficiency"
"02412","TotalDrivingEfficiency"
"02414","BogeyAvoidance"
"02415","BirdietoBogeyRatio"
"02416","ReverseBounceBack"
"02417","StrokeDifferentialFieldAverage"
"02419","BogeyAverage"
"02420","DistancefromEdgeofFairway"
"02421","DistancefromCenterofFairway"
"02422","LeftTendency"
"02423","RightTendency"
"02426","AverageGoingforitShotDistanceinYards"
"02427","Puttingfrom35"
"02428","TotalPutting"
"02429","Puttingfrom20"
"02430","AverageDistancetoHoleAfterTeeShot"
"02431","AverageDistanceafterGoingforitShot"
"02432","DrivingPct300320AllDrives"
"02433","DrivingPct320AllDrives"
"02434","GIRPctFairwayBunker"
"02435","RoughTendency"
"02437","GreensorFringeinRegulation"
"02438","GoodDrivePercentage"
"02439","BonusPutting"
"02440","AverageDistanceofBirdieputtsmade"
"02442","AverageDistanceofEagleputtsmade"
"02444","MoneyLeadersFallSeries"
"02447","Percentageofpotentialmoneywon"
"02448","ofPotentialPtswonFedExCupRegularSeason"
"02449","ofPotentialPtswonFedExCupPlayoffs"
"02517","Par3efficiency"
"02518","Par3efficiency100125yards"
"02519","Par3efficiency125150yards"
"02520","Par3efficiency150175yards"
"02521","Par3efficiency175200yards"
"02522","Par3efficiency200225yards"
"02523","Par3efficiency225250yards"
"02524","Par3efficiency250yards"
"02525","Par4efficiency"
"02526","Par4efficiency250300yards"
"02527","Par4Efficiency300350yards"
"02528","Par4Efficiency350400yards"
"02529","Par4Efficiency400450yards"
"02530","Par4Efficiency450500yards"
"02531","Par4Efficiency500yards"
"02532","Par5Efficiency"
"02533","Par5Efficiency500550Yards"
"02534","Par5Efficiency550600Yards"
"02535","Par5Efficiency600650Yards"
"02536","Par5Efficiency650Yards"
"02562","FedExCupPointsperEventLeaders"
"02564","StrokesGainedPutting"
"02667","NonWGCFedExCupSeasonPointsforNonMembers"
"02671","FedExCupStandings"
"02672","ConsecutiveBirdiesStreak"
"02673","ConsecutiveBirdiesEaglesstreak"
"02674","StrokesGainedTeetoGreen"
"02675","StrokesGainedTotal"
