"RoughTendency_RANKTHISWEEK_2009","RoughTendency_RANKLASTWEEK_2009","RoughTendency_PLAYERNAME_2009","RoughTendency_ROUNDS_2009","RoughTendency_Pct_2009","RoughTendency_TOTALROUGH_2009","RoughTendency_POSSIBLEFWYS_2009","RoughTendency_RELATIVETOPAR_2009","stat_name","year"
1,1,"Joe Durant",62,19.01,123,647,2.36,"RoughTendency",2009
2,2,"Tim Clark",81,19.88,163,820,1.41,"RoughTendency",2009
3,3,"Darron Stiles",52,20.34,118,580,2.12,"RoughTendency",2009
4,4,"Chris Riley",77,20.69,192,928,1.09,"RoughTendency",2009
5,5,"Scott McCarron",91,20.7,232,1121,0.91,"RoughTendency",2009
6,6,"Heath Slocum",95,20.83,245,1176,1.47,"RoughTendency",2009
7,7,"Kirk Triplett",60,20.95,158,754,0.95,"RoughTendency",2009
8,8,"Scott Verplank",88,21.57,237,1099,1.18,"RoughTendency",2009
9,9,"David Toms",98,21.76,242,1112,0.79,"RoughTendency",2009
9,9,"Jay Williamson",69,21.76,171,786,0.99,"RoughTendency",2009
11,11,"Jeff Klauk",97,21.82,266,1219,0.79,"RoughTendency",2009
12,12,"Bart Bryant",58,21.91,158,721,2.78,"RoughTendency",2009
13,13,"Zach Johnson",94,22.1,244,1104,0.74,"RoughTendency",2009
14,14,"Billy Mayfair",83,22.35,213,953,2.11,"RoughTendency",2009
15,15,"Brian Gay",96,22.47,257,1144,1.52,"RoughTendency",2009
15,15,"Colt Knost",71,22.47,173,770,2.25,"RoughTendency",2009
17,17,"Alex Cejka",82,22.52,222,986,0.41,"RoughTendency",2009
18,18,"Paul Goydos",79,22.54,204,905,2.16,"RoughTendency",2009
19,19,"Chez Reavie",81,22.56,220,975,1.41,"RoughTendency",2009
20,20,"Kent Jones",73,22.6,191,845,0.73,"RoughTendency",2009
21,21,"Kris Blanks",60,22.72,147,647,0.54,"RoughTendency",2009
22,22,"Jason Bohn",88,22.85,258,1129,1.24,"RoughTendency",2009
22,22,"Corey Pavin",73,22.85,170,744,1.94,"RoughTendency",2009
24,24,"Patrick Sheehan",51,23.02,125,543,1.44,"RoughTendency",2009
25,25,"Mark Wilson",99,23.08,280,1213,1.04,"RoughTendency",2009
26,26,"Nick OHern",90,23.12,270,1168,1.3,"RoughTendency",2009
27,27,"Brandt Snedeker",81,23.15,209,903,0.67,"RoughTendency",2009
28,28,"Jim Furyk",86,23.31,210,901,0.38,"RoughTendency",2009
29,29,"Greg Owen",97,23.44,266,1135,0.64,"RoughTendency",2009
30,30,"Tom Lehman",55,23.51,114,485,2.02,"RoughTendency",2009
31,31,"Rod Pampling",72,24.07,213,885,1.31,"RoughTendency",2009
32,32,"Michael Allen",73,24.13,194,804,1.24,"RoughTendency",2009
33,33,"Ryan Moore",89,24.15,248,1027,0.89,"RoughTendency",2009
34,34,"Mark Brooks",55,24.18,133,550,1.28,"RoughTendency",2009
35,35,"Bob Heintz",59,24.29,170,700,1.24,"RoughTendency",2009
36,36,"Ben Crane",93,24.32,269,1106,0.78,"RoughTendency",2009
37,37,"Justin Leonard",95,24.33,255,1048,0.51,"RoughTendency",2009
38,38,"Rick Price",54,24.34,138,567,2.32,"RoughTendency",2009
39,39,"Chris DiMarco",97,24.4,293,1201,1.09,"RoughTendency",2009
40,40,"John Mallinger",90,24.51,240,979,1.25,"RoughTendency",2009
41,41,"Charlie Wi",92,24.52,266,1085,0.64,"RoughTendency",2009
42,42,"Glen Day",79,24.72,218,882,0.92,"RoughTendency",2009
43,43,"Bob Estes",78,24.74,237,958,1.27,"RoughTendency",2009
44,44,"Bryce Molder",69,24.83,187,753,1.02,"RoughTendency",2009
45,45,"Jonathan Byrd",89,24.86,270,1086,0.41,"RoughTendency",2009
45,45,"Boo Weekley",79,24.86,225,905,0.8,"RoughTendency",2009
47,47,"Jason Dufner",90,24.93,269,1079,0.56,"RoughTendency",2009
48,48,"Tommy Armour III",58,25,179,716,0.61,"RoughTendency",2009
49,49,"Vaughn Taylor",88,25.02,273,1091,0.92,"RoughTendency",2009
50,50,"Mathew Goggin",76,25.06,207,826,1.4,"RoughTendency",2009
51,51,"DA Points",99,25.1,299,1191,0.9,"RoughTendency",2009
52,52,"KJ Choi",65,25.14,176,700,1.02,"RoughTendency",2009
53,53,"Jeff Maggert",79,25.15,252,1002,1.75,"RoughTendency",2009
