"AveragePuttingDistanceGIR3PlusPutts_RANKTHISWEEK_2008","AveragePuttingDistanceGIR3PlusPutts_RANKLASTWEEK_2008","AveragePuttingDistanceGIR3PlusPutts_PLAYERNAME_2008","AveragePuttingDistanceGIR3PlusPutts_ROUNDS_2008","AveragePuttingDistanceGIR3PlusPutts_AVG_2008","AveragePuttingDistanceGIR3PlusPutts_DISTANCEFEET_2008","AveragePuttingDistanceGIR3PlusPutts_TOTALPUTTS_2008","stat_name","year"
25,25,"Jeff Maggert",86,NA,140.5,3,"AveragePuttingDistanceGIR3PlusPutts",2008
26,26,"Ben Crane",86,NA,46.667,1,"AveragePuttingDistanceGIR3PlusPutts",2008
27,27,"Cameron Beckman",87,NA,46.417,1,"AveragePuttingDistanceGIR3PlusPutts",2008
28,28,"Chris Stroud",81,NA,91.333,2,"AveragePuttingDistanceGIR3PlusPutts",2008
29,29,"Carlos Franco",73,NA,45.333,1,"AveragePuttingDistanceGIR3PlusPutts",2008
30,30,"Mark Wilson",107,NA,44.25,1,"AveragePuttingDistanceGIR3PlusPutts",2008
31,31,"Nathan Green",95,NA,43.667,1,"AveragePuttingDistanceGIR3PlusPutts",2008
32,32,"Tag Ridings",88,NA,43.5,1,"AveragePuttingDistanceGIR3PlusPutts",2008
33,33,"Kevin Na",97,NA,86.5,2,"AveragePuttingDistanceGIR3PlusPutts",2008
34,34,"Lucas Glover",91,NA,42.667,1,"AveragePuttingDistanceGIR3PlusPutts",2008
35,35,"Charlie Wi",97,NA,83.333,2,"AveragePuttingDistanceGIR3PlusPutts",2008
36,36,"Ernie Els",51,NA,41.25,1,"AveragePuttingDistanceGIR3PlusPutts",2008
37,37,"Stuart Appleby",87,NA,41.083,1,"AveragePuttingDistanceGIR3PlusPutts",2008
38,38,"Billy Mayfair",103,NA,80.417,2,"AveragePuttingDistanceGIR3PlusPutts",2008
39,39,"Ryan Armour",87,NA,80.25,2,"AveragePuttingDistanceGIR3PlusPutts",2008
40,40,"Mathias Gronberg",87,NA,120.333,3,"AveragePuttingDistanceGIR3PlusPutts",2008
41,41,"Chez Reavie",102,NA,79.833,2,"AveragePuttingDistanceGIR3PlusPutts",2008
42,42,"Robert Garrigus",90,NA,119.417,3,"AveragePuttingDistanceGIR3PlusPutts",2008
43,43,"Rory Sabbatini",77,NA,77.5,2,"AveragePuttingDistanceGIR3PlusPutts",2008
44,44,"Bill Haas",99,NA,38.667,1,"AveragePuttingDistanceGIR3PlusPutts",2008
45,45,"Tim Wilkinson",95,NA,38.417,1,"AveragePuttingDistanceGIR3PlusPutts",2008
46,46,"John Merrick",98,NA,74.917,2,"AveragePuttingDistanceGIR3PlusPutts",2008
47,47,"Cliff Kresge",84,NA,74.25,2,"AveragePuttingDistanceGIR3PlusPutts",2008
48,48,"Ken Duke",116,NA,37.083,1,"AveragePuttingDistanceGIR3PlusPutts",2008
48,48,"Hunter Mahan",87,NA,74.167,2,"AveragePuttingDistanceGIR3PlusPutts",2008
50,50,"JP Hayes",67,NA,36.583,1,"AveragePuttingDistanceGIR3PlusPutts",2008
51,51,"Harrison Frazar",73,NA,145.833,4,"AveragePuttingDistanceGIR3PlusPutts",2008
52,52,"Brandt Jobe",52,NA,36.25,1,"AveragePuttingDistanceGIR3PlusPutts",2008
53,53,"Eric Axley",113,NA,36.083,1,"AveragePuttingDistanceGIR3PlusPutts",2008
54,54,"Tommy Gainey",60,NA,35.75,1,"AveragePuttingDistanceGIR3PlusPutts",2008
55,55,"Jin Park",85,NA,34.75,1,"AveragePuttingDistanceGIR3PlusPutts",2008
56,56,"Alex Cejka",75,NA,34.417,1,"AveragePuttingDistanceGIR3PlusPutts",2008
57,57,"Jeff Quinney",87,NA,34.083,1,"AveragePuttingDistanceGIR3PlusPutts",2008
58,58,"Kevin Stadler",90,NA,134.083,4,"AveragePuttingDistanceGIR3PlusPutts",2008
59,59,"Jerry Kelly",89,NA,66.167,2,"AveragePuttingDistanceGIR3PlusPutts",2008
60,60,"Anthony Kim",81,NA,32.5,1,"AveragePuttingDistanceGIR3PlusPutts",2008
61,61,"Ryan Moore",72,NA,31.417,1,"AveragePuttingDistanceGIR3PlusPutts",2008
62,62,"Steve Elkington",84,NA,60.667,2,"AveragePuttingDistanceGIR3PlusPutts",2008
63,63,"David Duval",51,NA,29.833,1,"AveragePuttingDistanceGIR3PlusPutts",2008
64,64,"Scott Verplank",82,NA,29.333,1,"AveragePuttingDistanceGIR3PlusPutts",2008
65,65,"Angel Cabrera",55,NA,29.083,1,"AveragePuttingDistanceGIR3PlusPutts",2008
66,66,"Phil Mickelson",80,NA,27.833,1,"AveragePuttingDistanceGIR3PlusPutts",2008
67,67,"Michael Allen",91,NA,27.583,1,"AveragePuttingDistanceGIR3PlusPutts",2008
68,68,"Shane Bertsch",96,NA,72.083,3,"AveragePuttingDistanceGIR3PlusPutts",2008
69,69,"Woody Austin",109,NA,23.25,1,"AveragePuttingDistanceGIR3PlusPutts",2008
70,70,"John Riegger",73,NA,21.667,1,"AveragePuttingDistanceGIR3PlusPutts",2008
71,71,"David Lutterus",59,NA,19.417,1,"AveragePuttingDistanceGIR3PlusPutts",2008
72,72,"Billy Andrade",71,NA,15,1,"AveragePuttingDistanceGIR3PlusPutts",2008
73,73,"Todd Demsey",80,NA,14.083,1,"AveragePuttingDistanceGIR3PlusPutts",2008
74,74,"Mark Hensby",71,NA,13.083,1,"AveragePuttingDistanceGIR3PlusPutts",2008
75,75,"Daniel Chopra",84,NA,9.417,1,"AveragePuttingDistanceGIR3PlusPutts",2008
76,76,"DJ Trahan",94,NA,8.167,1,"AveragePuttingDistanceGIR3PlusPutts",2008
77,77,"John Rollins",94,NA,6.417,1,"AveragePuttingDistanceGIR3PlusPutts",2008
78,78,"Mark Calcavecchia",67,NA,3.917,1,"AveragePuttingDistanceGIR3PlusPutts",2008
