"ofPotentialPtswonFedExCupPlayoffs_RANKTHISWEEK_2014","ofPotentialPtswonFedExCupPlayoffs_RANKLASTWEEK_2014","ofPotentialPtswonFedExCupPlayoffs_PLAYERNAME_2014","ofPotentialPtswonFedExCupPlayoffs_EVENTS_2014","ofPotentialPtswonFedExCupPlayoffs_Pct_2014","ofPotentialPtswonFedExCupPlayoffs_PLAYOFFPOINTSWON_2014","ofPotentialPtswonFedExCupPlayoffs_POTENTIALPTS_2014","ofPotentialPtswonFedExCupPlayoffs_OFWINS_2014","ofPotentialPtswonFedExCupPlayoffs_OFTOP10S_2014","stat_name","year"
1,1,"Billy Horschel",27,60.83,6083,10000,2,3,"ofPotentialPtswonFedExCupPlayoffs",2014
2,2,"Chris Kirk",28,33.43,3343,10000,1,2,"ofPotentialPtswonFedExCupPlayoffs",2014
3,3,"Hunter Mahan",25,28.23,2823,10000,1,1,"ofPotentialPtswonFedExCupPlayoffs",2014
4,4,"Jim Furyk",21,24.73,2473,10000,NA,3,"ofPotentialPtswonFedExCupPlayoffs",2014
5,5,"Rory McIlroy",17,24.03,2403,10000,NA,3,"ofPotentialPtswonFedExCupPlayoffs",2014
6,6,"Bubba Watson",21,21.7,2170,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2014
7,7,"Jason Day",15,21.21,2121,10000,NA,3,"ofPotentialPtswonFedExCupPlayoffs",2014
8,8,"Morgan Hoffmann",32,17.43,1743,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2014
9,9,"Stuart Appleby",29,16.01,1201,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2014
10,10,"Rickie Fowler",26,15.85,1585,10000,NA,3,"ofPotentialPtswonFedExCupPlayoffs",2014
11,11,"Cameron Tringale",31,15.62,1562,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2014
12,12,"Russell Henley",29,15.01,1501,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2014
13,13,"Geoff Ogilvy",26,14.53,1453,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2014
14,14,"Sergio Garcia",16,13.33,1000,7500,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2014
15,15,"Adam Scott",17,13.08,1308,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2014
16,16,"Justin Rose",19,12.9,968,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2014
17,17,"Ryan Palmer",23,12.77,1277,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2014
18,18,"John Senden",27,12.05,1205,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2014
19,19,"Bill Haas",28,11.46,1146,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2014
20,20,"Ernie Els",24,11.43,858,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2014
21,21,"Matt Kuchar",24,11.15,1115,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2014
22,22,"Gary Woodland",25,10.93,1093,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2014
23,23,"Jordan Spieth",27,10.43,1043,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2014
24,24,"Martin Kaymer",19,9.4,940,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2014
25,25,"Paul Casey",16,9.1,228,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2014
26,26,"Zach Johnson",26,8.73,873,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2014
27,27,"Seung Yul Noh",27,8.54,641,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2014
28,28,"Jimmy Walker",27,8.48,848,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2014
29,29,"Chesson Hadley",29,8.44,633,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2014
30,30,"Charl Schwartzel",18,8.3,623,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2014
31,31,"Russell Knox",26,7.93,595,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2014
31,31,"Henrik Stenson",15,7.93,595,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2014
33,33,"Gonzalo Fdez Castano",25,7.85,393,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2014
34,34,"Hideki Matsuyama",24,7.38,738,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2014
34,34,"Kevin Na",27,7.38,738,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2014
36,36,"Charles Howell III",29,7.33,550,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2014
37,37,"Kevin Chappell",28,7.27,545,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2014
38,38,"Stewart Cink",25,7.25,363,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2014
39,39,"William McGirt",29,7.15,536,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2014
