"BirdieorBetterConversionPercentage_RANKTHISWEEK_2011","BirdieorBetterConversionPercentage_RANKLASTWEEK_2011","BirdieorBetterConversionPercentage_PLAYERNAME_2011","BirdieorBetterConversionPercentage_ROUNDS_2011","BirdieorBetterConversionPercentage_Pct_2011","BirdieorBetterConversionPercentage_BIRDIES_2011","BirdieorBetterConversionPercentage_GREENSHIT_2011","stat_name","year"
1,1,"Steve Stricker",70,35.33,289,818,"BirdieorBetterConversionPercentage",2011
2,2,"Andres Romero",77,34.47,294,853,"BirdieorBetterConversionPercentage",2011
3,3,"Luke Donald",73,34.11,277,812,"BirdieorBetterConversionPercentage",2011
4,4,"Steven Bowditch",86,33.8,316,935,"BirdieorBetterConversionPercentage",2011
4,4,"Jason Day",76,33.8,288,852,"BirdieorBetterConversionPercentage",2011
6,6,"Rickie Fowler",84,33.69,315,935,"BirdieorBetterConversionPercentage",2011
7,7,"JB Holmes",57,33.54,212,632,"BirdieorBetterConversionPercentage",2011
8,8,"Dustin Johnson",72,33.41,291,871,"BirdieorBetterConversionPercentage",2011
9,9,"Webb Simpson",98,33.28,409,1229,"BirdieorBetterConversionPercentage",2011
10,10,"Nick Watney",80,33.26,308,926,"BirdieorBetterConversionPercentage",2011
11,11,"Kevin Na",84,33.12,305,921,"BirdieorBetterConversionPercentage",2011
12,12,"Aaron Baddeley",77,32.99,291,882,"BirdieorBetterConversionPercentage",2011
13,13,"Geoff Ogilvy",69,32.53,242,744,"BirdieorBetterConversionPercentage",2011
14,14,"Brandt Snedeker",85,32.52,321,987,"BirdieorBetterConversionPercentage",2011
15,15,"Angel Cabrera",50,32.51,172,529,"BirdieorBetterConversionPercentage",2011
16,16,"Hunter Mahan",92,32.36,356,1100,"BirdieorBetterConversionPercentage",2011
17,17,"Charley Hoffman",93,32.24,355,1101,"BirdieorBetterConversionPercentage",2011
18,18,"Chris Couch",73,32.16,273,849,"BirdieorBetterConversionPercentage",2011
19,19,"Bubba Watson",85,31.96,317,992,"BirdieorBetterConversionPercentage",2011
20,20,"Matt Kuchar",94,31.86,338,1061,"BirdieorBetterConversionPercentage",2011
21,21,"Robert Garrigus",83,31.85,314,986,"BirdieorBetterConversionPercentage",2011
22,22,"Bryce Molder",82,31.84,298,936,"BirdieorBetterConversionPercentage",2011
23,23,"Martin Laird",77,31.57,287,909,"BirdieorBetterConversionPercentage",2011
24,24,"Phil Mickelson",79,31.46,291,925,"BirdieorBetterConversionPercentage",2011
25,25,"Kyle Stanley",98,31.45,346,1100,"BirdieorBetterConversionPercentage",2011
26,26,"Carl Pettersson",95,31.42,345,1098,"BirdieorBetterConversionPercentage",2011
27,27,"Steve Marino",76,31.33,281,897,"BirdieorBetterConversionPercentage",2011
28,28,"Pat Perez",76,31.28,279,892,"BirdieorBetterConversionPercentage",2011
29,29,"Scott Piercy",78,31.24,274,877,"BirdieorBetterConversionPercentage",2011
30,30,"Joe Ogilvie",75,31.21,235,753,"BirdieorBetterConversionPercentage",2011
31,31,"Lee Janzen",62,31.17,197,632,"BirdieorBetterConversionPercentage",2011
32,32,"Anthony Kim",72,31.13,245,787,"BirdieorBetterConversionPercentage",2011
33,33,"Steve Flesch",88,31.08,281,904,"BirdieorBetterConversionPercentage",2011
34,34,"Chris Kirk",87,31.03,323,1041,"BirdieorBetterConversionPercentage",2011
34,34,"Gary Woodland",93,31.03,360,1160,"BirdieorBetterConversionPercentage",2011
36,36,"DA Points",89,30.95,321,1037,"BirdieorBetterConversionPercentage",2011
37,37,"Freddie Jacobson",92,30.94,297,960,"BirdieorBetterConversionPercentage",2011
38,38,"Adam Scott",60,30.83,222,720,"BirdieorBetterConversionPercentage",2011
39,39,"Vijay Singh",79,30.72,290,944,"BirdieorBetterConversionPercentage",2011
40,40,"Retief Goosen",50,30.69,174,567,"BirdieorBetterConversionPercentage",2011
41,41,"Lucas Glover",74,30.67,269,877,"BirdieorBetterConversionPercentage",2011
42,42,"Charlie Wi",83,30.6,291,951,"BirdieorBetterConversionPercentage",2011
43,43,"Tommy Gainey",104,30.56,368,1204,"BirdieorBetterConversionPercentage",2011
44,44,"Jhonattan Vegas",84,30.54,295,966,"BirdieorBetterConversionPercentage",2011
45,45,"Ryan Palmer",82,30.53,280,917,"BirdieorBetterConversionPercentage",2011
46,46,"Brendon de Jonge",105,30.49,368,1207,"BirdieorBetterConversionPercentage",2011
47,47,"Robert Karlsson",61,30.46,205,673,"BirdieorBetterConversionPercentage",2011
47,47,"Ryan Moore",79,30.46,258,847,"BirdieorBetterConversionPercentage",2011
49,49,"Keegan Bradley",91,30.32,312,1029,"BirdieorBetterConversionPercentage",2011
50,50,"Bio Kim",71,30.26,210,694,"BirdieorBetterConversionPercentage",2011
51,51,"Brian Davis",105,30.19,384,1272,"BirdieorBetterConversionPercentage",2011
51,51,"Matt Jones",71,30.19,240,795,"BirdieorBetterConversionPercentage",2011
53,53,"Chez Reavie",92,30.16,342,1134,"BirdieorBetterConversionPercentage",2011
54,54,"YE Yang",63,30.12,200,664,"BirdieorBetterConversionPercentage",2011
55,55,"Blake Adams",116,30.07,396,1317,"BirdieorBetterConversionPercentage",2011
56,56,"Charl Schwartzel",58,30.06,199,662,"BirdieorBetterConversionPercentage",2011
57,57,"George McNeill",69,30,210,700,"BirdieorBetterConversionPercentage",2011
58,58,"Ben Martin",74,29.85,243,814,"BirdieorBetterConversionPercentage",2011
59,59,"Hunter Haas",96,29.84,327,1096,"BirdieorBetterConversionPercentage",2011
60,60,"Matt Bettencourt",84,29.81,279,936,"BirdieorBetterConversionPercentage",2011
61,61,"Shane Bertsch",62,29.77,192,645,"BirdieorBetterConversionPercentage",2011
62,62,"Cameron Beckman",71,29.74,226,760,"BirdieorBetterConversionPercentage",2011
63,63,"Stewart Cink",72,29.71,227,764,"BirdieorBetterConversionPercentage",2011
64,64,"David Toms",78,29.65,276,931,"BirdieorBetterConversionPercentage",2011
65,65,"James Driscoll",71,29.61,220,743,"BirdieorBetterConversionPercentage",2011
