"FedExCupPlayoffsPoints_RANKTHISWEEK_2009","FedExCupPlayoffsPoints_RANKLASTWEEK_2009","FedExCupPlayoffsPoints_PLAYERNAME_2009","FedExCupPlayoffsPoints_EVENTS_2009","FedExCupPlayoffsPoints_POINTS_2009","FedExCupPlayoffsPoints_OFWINS_2009","FedExCupPlayoffsPoints_OFTOP10S_2009","FedExCupPlayoffsPoints_POINTSBEHINDLEAD_2009","FedExCupPlayoffsPoints_RESETPOINTS_2009","stat_name","year"
1,1,"Tiger Woods",17,4000,6,14,NA,2500,"FedExCupPlayoffsPoints",2009
2,2,"Phil Mickelson",18,2920,3,7,1080,420,"FedExCupPlayoffsPoints",2009
3,3,"Steve Stricker",22,2750,3,11,1250,2250,"FedExCupPlayoffsPoints",2009
4,4,"Jim Furyk",22,2438,NA,10,1562,2000,"FedExCupPlayoffsPoints",2009
5,5,"Sean OHair",23,2200,1,9,1800,1200,"FedExCupPlayoffsPoints",2009
6,6,"Zach Johnson",25,2073,2,8,1927,1800,"FedExCupPlayoffsPoints",2009
7,7,"Padraig Harrington",20,2050,NA,6,1950,1400,"FedExCupPlayoffsPoints",2009
8,8,"Heath Slocum",27,1855,1,3,2145,1600,"FedExCupPlayoffsPoints",2009
9,9,"Kenny Perry",24,1450,2,8,2550,800,"FedExCupPlayoffsPoints",2009
10,10,"Scott Verplank",24,1245,NA,6,2755,1000,"FedExCupPlayoffsPoints",2009
11,11,"Jason Dufner",26,855,NA,6,3145,600,"FedExCupPlayoffsPoints",2009
12,12,"Nick Watney",23,748,1,4,3252,460,"FedExCupPlayoffsPoints",2009
13,13,"Geoff Ogilvy",20,713,2,5,3287,440,"FedExCupPlayoffsPoints",2009
14,14,"Dustin Johnson",24,700,1,5,3300,480,"FedExCupPlayoffsPoints",2009
15,15,"Steve Marino",28,698,NA,5,3302,260,"FedExCupPlayoffsPoints",2009
16,16,"Ernie Els",19,690,NA,7,3310,290,"FedExCupPlayoffsPoints",2009
17,17,"Lucas Glover",26,660,1,6,3340,310,"FedExCupPlayoffsPoints",2009
18,18,"Retief Goosen",20,640,1,5,3360,400,"FedExCupPlayoffsPoints",2009
19,19,"David Toms",25,608,NA,7,3392,320,"FedExCupPlayoffsPoints",2009
20,20,"Marc Leishman",26,593,NA,3,3407,380,"FedExCupPlayoffsPoints",2009
21,21,"Brian Gay",25,573,2,4,3427,360,"FedExCupPlayoffsPoints",2009
22,22,"Jerry Kelly",25,570,1,6,3430,220,"FedExCupPlayoffsPoints",2009
23,23,"YE Yang",23,565,2,4,3435,300,"FedExCupPlayoffsPoints",2009
24,24,"John Senden",28,560,NA,6,3440,210,"FedExCupPlayoffsPoints",2009
25,25,"Angel Cabrera",17,558,1,3,3442,270,"FedExCupPlayoffsPoints",2009
26,26,"Kevin Na",26,545,NA,9,3455,340,"FedExCupPlayoffsPoints",2009
27,27,"Hunter Mahan",24,515,NA,6,3485,280,"FedExCupPlayoffsPoints",2009
28,28,"Stewart Cink",22,505,1,4,3495,250,"FedExCupPlayoffsPoints",2009
29,29,"Mike Weir",23,468,NA,5,3532,240,"FedExCupPlayoffsPoints",2009
30,30,"Luke Donald",21,458,NA,6,3542,230,"FedExCupPlayoffsPoints",2009
31,31,"Ian Poulter",17,1532,NA,5,5664,NA,"FedExCupPlayoffsPoints",2009
32,32,"Mark Wilson",25,1438,1,3,5758,NA,"FedExCupPlayoffsPoints",2009
33,33,"Brandt Snedeker",23,1435,NA,5,5761,NA,"FedExCupPlayoffsPoints",2009
34,34,"Rory Sabbatini",22,1426,1,4,5770,NA,"FedExCupPlayoffsPoints",2009
35,35,"Anthony Kim",21,1420,NA,3,5776,NA,"FedExCupPlayoffsPoints",2009
36,36,"Tim Clark",21,1395,NA,4,5801,NA,"FedExCupPlayoffsPoints",2009
37,37,"Charley Hoffman",24,1393,NA,3,5803,NA,"FedExCupPlayoffsPoints",2009
38,38,"Sergio Garcia",17,1379,NA,3,5817,NA,"FedExCupPlayoffsPoints",2009
39,39,"Justin Leonard",24,1371,NA,5,5825,NA,"FedExCupPlayoffsPoints",2009
40,40,"Matt Kuchar",22,1364,NA,3,5832,NA,"FedExCupPlayoffsPoints",2009
41,41,"Bill Haas",26,1362,NA,4,5834,NA,"FedExCupPlayoffsPoints",2009
42,42,"Camilo Villegas",21,1336,NA,4,5860,NA,"FedExCupPlayoffsPoints",2009
43,43,"Robert Allenby",20,1326,NA,3,5870,NA,"FedExCupPlayoffsPoints",2009
44,44,"Kevin Sutherland",25,1276,NA,2,5920,NA,"FedExCupPlayoffsPoints",2009
45,45,"John Rollins",24,1266,1,4,5930,NA,"FedExCupPlayoffsPoints",2009
