"ofPotentialPtswonFedExCupRegularSeason_RANKTHISWEEK_2014","ofPotentialPtswonFedExCupRegularSeason_RANKLASTWEEK_2014","ofPotentialPtswonFedExCupRegularSeason_PLAYERNAME_2014","ofPotentialPtswonFedExCupRegularSeason_EVENTS_2014","ofPotentialPtswonFedExCupRegularSeason_Pct_2014","ofPotentialPtswonFedExCupRegularSeason_POINTSWON_2014","ofPotentialPtswonFedExCupRegularSeason_POTENTIALPTS_2014","ofPotentialPtswonFedExCupRegularSeason_OFWINS_2014","ofPotentialPtswonFedExCupRegularSeason_OFTOP10S_2014","stat_name","year"
1,1,"Rory McIlroy",17,35.87,2582,7200,3,9,"ofPotentialPtswonFedExCupRegularSeason",2014
2,2,"Bubba Watson",21,23.62,2173,9200,2,7,"ofPotentialPtswonFedExCupRegularSeason",2014
3,3,"Sergio Garcia",16,23.61,1700,7200,NA,8,"ofPotentialPtswonFedExCupRegularSeason",2014
4,4,"Adam Scott",17,20.84,1479,7100,1,8,"ofPotentialPtswonFedExCupRegularSeason",2014
5,5,"Jimmy Walker",27,20.43,2493,12200,3,9,"ofPotentialPtswonFedExCupRegularSeason",2014
6,6,"Jim Furyk",21,20.23,1851,9150,NA,8,"ofPotentialPtswonFedExCupRegularSeason",2014
7,7,"Dustin Johnson",17,19.54,1769,9050,1,7,"ofPotentialPtswonFedExCupRegularSeason",2014
8,8,"Martin Kaymer",19,18.6,1525,8200,2,3,"ofPotentialPtswonFedExCupRegularSeason",2014
9,9,"Matt Kuchar",24,18.21,1921,10550,1,10,"ofPotentialPtswonFedExCupRegularSeason",2014
10,10,"Jason Day",15,17.13,1028,6000,1,3,"ofPotentialPtswonFedExCupRegularSeason",2014
11,11,"Justin Rose",19,16.63,1447,8700,1,7,"ofPotentialPtswonFedExCupRegularSeason",2014
12,12,"Jordan Spieth",27,13.87,1692,12200,NA,7,"ofPotentialPtswonFedExCupRegularSeason",2014
13,13,"Webb Simpson",25,13.77,1536,11150,1,8,"ofPotentialPtswonFedExCupRegularSeason",2014
14,14,"Bernhard Langer",1,13.36,80,600,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2014
15,15,"Zach Johnson",26,13.32,1552,11650,1,5,"ofPotentialPtswonFedExCupRegularSeason",2014
16,16,"Patrick Reed",28,13.17,1666,12650,2,3,"ofPotentialPtswonFedExCupRegularSeason",2014
17,17,"Ryan Moore",24,12.76,1429,11200,1,7,"ofPotentialPtswonFedExCupRegularSeason",2014
18,18,"Rickie Fowler",26,12.58,1471,11700,NA,7,"ofPotentialPtswonFedExCupRegularSeason",2014
19,19,"Chris Kirk",28,12.42,1571,12650,1,3,"ofPotentialPtswonFedExCupRegularSeason",2014
20,20,"Hideki Matsuyama",24,12.03,1287,10700,1,4,"ofPotentialPtswonFedExCupRegularSeason",2014
21,21,"Brendon Todd",29,12,1542,12850,1,7,"ofPotentialPtswonFedExCupRegularSeason",2014
22,22,"Kevin Na",27,11.83,1413,11950,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2014
23,23,"Graeme McDowell",17,11.57,948,8200,NA,8,"ofPotentialPtswonFedExCupRegularSeason",2014
