"CurrentParorBetterStreak_RANKTHISWEEK_2005","CurrentParorBetterStreak_RANKLASTWEEK_2005","CurrentParorBetterStreak_PLAYERNAME_2005","CurrentParorBetterStreak_EVENTS_2005","CurrentParorBetterStreak_NUMBEROFROUNDS_2005","stat_name","year"
1,1,"Bob Heintz",87,18,"CurrentParorBetterStreak",2005
2,2,"Donnie Hammond",473,15,"CurrentParorBetterStreak",2005
3,3,"Harrison Frazar",209,13,"CurrentParorBetterStreak",2005
4,4,"Scott Gutschewski",27,12,"CurrentParorBetterStreak",2005
4,4,"Scott Verplank",450,12,"CurrentParorBetterStreak",2005
6,6,"Wayne Levi",476,10,"CurrentParorBetterStreak",2005
6,6,"Omar Uresti",251,10,"CurrentParorBetterStreak",2005
8,8,"Stewart Cink",247,9,"CurrentParorBetterStreak",2005
8,8,"Bill Glasson",446,9,"CurrentParorBetterStreak",2005
8,8,"Hunter Haas",61,9,"CurrentParorBetterStreak",2005
8,8,"Brett Wetterich",70,9,"CurrentParorBetterStreak",2005
12,12,"Justin Bolli",23,8,"CurrentParorBetterStreak",2005
12,12,"Jim Furyk",305,8,"CurrentParorBetterStreak",2005
12,12,"Franklin Langham",196,8,"CurrentParorBetterStreak",2005
12,12,"Spencer Levin",8,8,"CurrentParorBetterStreak",2005
12,12,"Carl Pettersson",88,8,"CurrentParorBetterStreak",2005
12,12,"Kevin Sutherland",275,8,"CurrentParorBetterStreak",2005
12,12,"Charlie Wi",23,8,"CurrentParorBetterStreak",2005
19,19,"Tommy Armour III",507,7,"CurrentParorBetterStreak",2005
19,19,"Glen Day",338,7,"CurrentParorBetterStreak",2005
21,21,"Trevor Dodds",292,6,"CurrentParorBetterStreak",2005
21,21,"Ryuji Imada",32,6,"CurrentParorBetterStreak",2005
21,21,"Shigeki Maruyama",179,6,"CurrentParorBetterStreak",2005
21,21,"Colin Montgomerie",104,6,"CurrentParorBetterStreak",2005
21,21,"Tag Ridings",54,6,"CurrentParorBetterStreak",2005
21,21,"Kirk Triplett",389,6,"CurrentParorBetterStreak",2005
27,27,"Bob Estes",431,5,"CurrentParorBetterStreak",2005
27,27,"Paul Gow",109,5,"CurrentParorBetterStreak",2005
27,27,"Trevor Immelman",38,5,"CurrentParorBetterStreak",2005
27,27,"John Morgan",55,5,"CurrentParorBetterStreak",2005
27,27,"Corey Pavin",535,5,"CurrentParorBetterStreak",2005
27,27,"Loren Roberts",611,5,"CurrentParorBetterStreak",2005
27,27,"Patrick Sheehan",98,5,"CurrentParorBetterStreak",2005
27,27,"Vijay Singh",311,5,"CurrentParorBetterStreak",2005
27,27,"Henrik Stenson",5,5,"CurrentParorBetterStreak",2005
27,27,"Steve Stricker",264,5,"CurrentParorBetterStreak",2005
