"ofPotentialPtswonFedExCupPlayoffs_RANKTHISWEEK_2013","ofPotentialPtswonFedExCupPlayoffs_RANKLASTWEEK_2013","ofPotentialPtswonFedExCupPlayoffs_PLAYERNAME_2013","ofPotentialPtswonFedExCupPlayoffs_EVENTS_2013","ofPotentialPtswonFedExCupPlayoffs_Pct_2013","ofPotentialPtswonFedExCupPlayoffs_PLAYOFFPOINTSWON_2013","ofPotentialPtswonFedExCupPlayoffs_POTENTIALPTS_2013","ofPotentialPtswonFedExCupPlayoffs_OFWINS_2013","ofPotentialPtswonFedExCupPlayoffs_OFTOP10S_2013","stat_name","year"
1,1,"Henrik Stenson",18,53.03,5303,10000,2,2,"ofPotentialPtswonFedExCupPlayoffs",2013
2,2,"Steve Stricker",13,44.17,3313,7500,NA,3,"ofPotentialPtswonFedExCupPlayoffs",2013
3,3,"Zach Johnson",24,41.87,3140,7500,1,2,"ofPotentialPtswonFedExCupPlayoffs",2013
4,4,"Adam Scott",16,30.53,3053,10000,1,1,"ofPotentialPtswonFedExCupPlayoffs",2013
5,5,"Graham DeLaet",26,23.7,2370,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2013
6,6,"Jordan Spieth",23,23.33,2333,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2013
7,7,"Nick Watney",26,23.08,2308,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2013
8,8,"Jim Furyk",22,19.38,1938,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2013
9,9,"Justin Rose",17,18.95,1895,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2013
10,10,"Gary Woodland",26,15.85,1585,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
11,11,"Tiger Woods",16,15.35,1535,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
12,12,"Sergio Garcia",17,13.55,1355,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2013
13,13,"Jason Day",21,13.41,1341,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
14,14,"Webb Simpson",25,13.2,1320,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
15,15,"Hunter Mahan",25,13.16,1316,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
16,16,"Matt Kuchar",23,12.6,1260,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
17,17,"Roberto Castro",29,12.3,1230,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2013
18,18,"Kevin Stadler",25,11.53,865,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
19,19,"Brendon de Jonge",30,11.28,1128,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
20,20,"Luke Donald",17,11.1,1110,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
21,21,"Phil Mickelson",21,10.86,1086,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
22,22,"Charl Schwartzel",19,10.58,1058,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2013
23,23,"Keegan Bradley",25,10.35,1035,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2013
24,24,"Jason Dufner",22,9.8,980,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2013
