"FedExCupPlayoffsPoints_RANKTHISWEEK_2008","FedExCupPlayoffsPoints_RANKLASTWEEK_2008","FedExCupPlayoffsPoints_PLAYERNAME_2008","FedExCupPlayoffsPoints_EVENTS_2008","FedExCupPlayoffsPoints_POINTS_2008","FedExCupPlayoffsPoints_OFWINS_2008","FedExCupPlayoffsPoints_OFTOP10S_2008","FedExCupPlayoffsPoints_POINTSBEHINDLEAD_2008","FedExCupPlayoffsPoints_RESETPOINTS_2008","stat_name","year"
1,1,"Vijay Singh",4,125101,2,2,NA,98500,"FedExCupPlayoffsPoints",2008
2,2,"Camilo Villegas",4,124550,2,3,551,96150,"FedExCupPlayoffsPoints",2008
3,3,"Sergio Garcia",4,119400,NA,3,5701,97975,"FedExCupPlayoffsPoints",2008
4,4,"Anthony Kim",4,114419,NA,2,10682,98750,"FedExCupPlayoffsPoints",2008
5,5,"Jim Furyk",4,113180,NA,3,11921,97750,"FedExCupPlayoffsPoints",2008
6,6,"Mike Weir",4,113118,NA,3,11983,96110,"FedExCupPlayoffsPoints",2008
7,7,"Phil Mickelson",4,112201,NA,1,12900,99250,"FedExCupPlayoffsPoints",2008
8,8,"Justin Leonard",4,111638,NA,3,13463,98375,"FedExCupPlayoffsPoints",2008
9,9,"Ben Curtis",4,110702,NA,2,14399,96850,"FedExCupPlayoffsPoints",2008
10,10,"KJ Choi",4,110646,NA,2,14455,97600,"FedExCupPlayoffsPoints",2008
11,11,"Kevin Sutherland",4,109378,NA,1,15723,95550,"FedExCupPlayoffsPoints",2008
12,12,"Dudley Hart",4,108931,NA,2,16170,95110,"FedExCupPlayoffsPoints",2008
13,13,"Ernie Els",4,108475,NA,2,16626,96775,"FedExCupPlayoffsPoints",2008
14,14,"Steve Stricker",4,108381,NA,1,16720,97300,"FedExCupPlayoffsPoints",2008
15,15,"Kenny Perry",4,108090,NA,NA,17011,99500,"FedExCupPlayoffsPoints",2008
16,16,"Trevor Immelman",4,108028,NA,1,17073,97375,"FedExCupPlayoffsPoints",2008
17,17,"Stuart Appleby",4,108025,NA,1,17076,97450,"FedExCupPlayoffsPoints",2008
18,18,"Hunter Mahan",4,107999,NA,1,17102,96590,"FedExCupPlayoffsPoints",2008
19,19,"Robert Allenby",4,107701,NA,NA,17400,98050,"FedExCupPlayoffsPoints",2008
20,20,"Stewart Cink",4,107407,NA,NA,17694,98625,"FedExCupPlayoffsPoints",2008
21,21,"Carl Pettersson",4,107394,NA,NA,17707,97900,"FedExCupPlayoffsPoints",2008
22,22,"Ken Duke",4,107082,NA,1,18019,95790,"FedExCupPlayoffsPoints",2008
23,23,"Billy Mayfair",4,106689,NA,1,18412,96350,"FedExCupPlayoffsPoints",2008
24,24,"DJ Trahan",4,106303,NA,1,18798,97525,"FedExCupPlayoffsPoints",2008
25,25,"Ryuji Imada",4,106203,NA,NA,18898,98250,"FedExCupPlayoffsPoints",2008
26,26,"Tim Clark",4,105920,NA,1,19181,95430,"FedExCupPlayoffsPoints",2008
27,27,"Briny Baird",4,105609,NA,NA,19492,96700,"FedExCupPlayoffsPoints",2008
28,28,"Andres Romero",4,105378,NA,NA,19723,96925,"FedExCupPlayoffsPoints",2008
29,29,"Chad Campbell",4,105262,NA,1,19839,97150,"FedExCupPlayoffsPoints",2008
30,30,"Bubba Watson",4,105003,NA,NA,20098,95590,"FedExCupPlayoffsPoints",2008
31,31,"Stephen Ames",3,102570,NA,1,22531,96630,"FedExCupPlayoffsPoints",2008
32,32,"Geoff Ogilvy",3,102563,NA,NA,22538,98125,"FedExCupPlayoffsPoints",2008
33,33,"Boo Weekley",3,102513,NA,NA,22588,97825,"FedExCupPlayoffsPoints",2008
34,34,"Brandt Snedeker",3,102432,NA,NA,22669,95870,"FedExCupPlayoffsPoints",2008
35,35,"Kevin Streelman",3,102396,NA,1,22705,93750,"FedExCupPlayoffsPoints",2008
36,36,"Steve Marino",3,102024,NA,1,23077,96310,"FedExCupPlayoffsPoints",2008
37,37,"John Senden",3,101937,NA,NA,23164,95270,"FedExCupPlayoffsPoints",2008
38,38,"JB Holmes",3,101891,NA,NA,23210,97225,"FedExCupPlayoffsPoints",2008
39,39,"Dean Wilson",3,101713,NA,NA,23388,95030,"FedExCupPlayoffsPoints",2008
40,40,"John Merrick",3,101627,NA,NA,23474,95070,"FedExCupPlayoffsPoints",2008
41,41,"Nicholas Thompson",3,101556,NA,1,23545,95950,"FedExCupPlayoffsPoints",2008
42,42,"Charlie Wi",3,101550,NA,NA,23551,95190,"FedExCupPlayoffsPoints",2008
43,43,"Aaron Baddeley",3,101375,NA,1,23726,96030,"FedExCupPlayoffsPoints",2008
44,44,"Freddie Jacobson",3,101343,NA,1,23758,95990,"FedExCupPlayoffsPoints",2008
45,45,"Mark Wilson",3,101331,NA,NA,23770,94630,"FedExCupPlayoffsPoints",2008
46,46,"Brian Gay",3,101323,NA,NA,23778,96270,"FedExCupPlayoffsPoints",2008
47,47,"Adam Scott",3,101295,NA,NA,23806,97075,"FedExCupPlayoffsPoints",2008
