"FedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2009","FedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2009","FedExCupSeasonPointsforNonMembers_PLAYERNAME_2009","FedExCupSeasonPointsforNonMembers_EVENTS_2009","FedExCupSeasonPointsforNonMembers_POINTS_2009","FedExCupSeasonPointsforNonMembers_WGCPOINTS_2009","stat_name","year"
1,1,"Henrik Stenson",10,1081,62,"FedExCupSeasonPointsforNonMembers",2009
2,2,"Lee Westwood",8,637,138,"FedExCupSeasonPointsforNonMembers",2009
3,3,"Rory McIlroy",11,585,152,"FedExCupSeasonPointsforNonMembers",2009
4,4,"Ross Fisher",10,496,190,"FedExCupSeasonPointsforNonMembers",2009
5,5,"Graeme McDowell",11,405,50,"FedExCupSeasonPointsforNonMembers",2009
6,6,"Oliver Wilson",9,389,246,"FedExCupSeasonPointsforNonMembers",2009
7,7,"Martin Kaymer",11,339,90,"FedExCupSeasonPointsforNonMembers",2009
8,8,"Soren Hansen",8,331,90,"FedExCupSeasonPointsforNonMembers",2009
9,9,"Jeev Milkha Singh",13,331,168,"FedExCupSeasonPointsforNonMembers",2009
10,10,"Miguel Angel Jimenez",8,261,144,"FedExCupSeasonPointsforNonMembers",2009
11,11,"Soren Kjeldsen",7,256,117,"FedExCupSeasonPointsforNonMembers",2009
12,12,"Shingo Katayama",6,220,70,"FedExCupSeasonPointsforNonMembers",2009
13,13,"Danny Lee",12,210,17,"FedExCupSeasonPointsforNonMembers",2009
14,14,"Alvaro Quiros",9,196,136,"FedExCupSeasonPointsforNonMembers",2009
15,15,"Peter Hanson",5,194,97,"FedExCupSeasonPointsforNonMembers",2009
16,16,"Francesco Molinari",4,185,NA,"FedExCupSeasonPointsforNonMembers",2009
17,17,"Chris Wood",2,181,NA,"FedExCupSeasonPointsforNonMembers",2009
18,18,"Thomas Aiken",3,175,92,"FedExCupSeasonPointsforNonMembers",2009
19,19,"Robert Karlsson",6,132,61,"FedExCupSeasonPointsforNonMembers",2009
20,20,"Charl Schwartzel",6,129,47,"FedExCupSeasonPointsforNonMembers",2009
21,21,"Prayad Marksaeng",6,112,112,"FedExCupSeasonPointsforNonMembers",2009
22,22,"Darren Clarke",7,107,68,"FedExCupSeasonPointsforNonMembers",2009
23,23,"Thongchai Jaidee",4,97,10,"FedExCupSeasonPointsforNonMembers",2009
24,24,"Richard Sterne",8,93,24,"FedExCupSeasonPointsforNonMembers",2009
25,25,"James Kingston",2,89,48,"FedExCupSeasonPointsforNonMembers",2009
26,26,"Kevin Chappell",3,89,NA,"FedExCupSeasonPointsforNonMembers",2009
